ubicacion,actualizado_dt,avance_actas_pct,actas_contabilizadas,actas_pendientes,actas_jee,total_actas,votantes_ausentes_est,votantes_emitidos_pendientes_est,votantes_emitidos_jee_est,votantes_validos_pendientes_est,votantes_validos_jee_est,candidato_o_tipo,agrupacion,porcentaje_valido_base,porcentaje_valido_usado_prior,votos_proyectados_faltantes,votos_proyectados_pendientes,votos_proyectados_jee,observacion
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,1.237,1.275,56.0,0.0,56.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,1.128,1.072,47.0,0.0,47.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,1.095,1.055,46.0,0.0,46.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,1.075,1.057,46.0,0.0,46.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1.062,1.12,49.0,0.0,49.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,0.935,0.924,40.0,0.0,40.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0.895,0.842,37.0,0.0,37.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,0.703,0.665,29.0,0.0,29.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0.703,0.737,32.0,0.0,32.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,0.578,0.535,23.0,0.0,23.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0.534,0.621,27.0,0.0,27.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,0.399,0.369,16.0,0.0,16.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.339,0.347,15.0,0.0,15.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0.326,0.382,17.0,0.0,17.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.264,0.311,14.0,0.0,14.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0.231,0.261,11.0,0.0,11.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0.206,0.158,7.0,0.0,7.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,0.191,0.176,8.0,0.0,8.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0.186,0.168,7.0,0.0,7.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.16,0.144,6.0,0.0,6.0,Data real
